animal_id,source,species,breed,breed_secondary,name,age,gender,color,physical_desc,temperament,status,owner_name,adopted,intake_type,location,image_url,date_listed
A902280,austin,oiseau,Canard,,More White/Black,2 ans,Unknown,Blanc,,,Adoption,,1,Public Assist,"Ans, Belgique",https://live.staticflickr.com/4165/33694468644_198a9ab5a7_b.jpg,2024-04-18
A902281,austin,oiseau,Canard,,Mostly Black/White,2 ans,Unknown,Blanc,,,Adoption,,1,Public Assist,"Saint-Nicolas, Belgique",https://live.staticflickr.com/4165/33694468644_198a9ab5a7_b.jpg,2024-04-18
A860540,austin,oiseau,Canard,,Quackly,3 mois,Unknown,Jaune,,,Return to Owner,,0,Stray,"Malines, Belgique",https://live.staticflickr.com/4165/33694468644_198a9ab5a7_b.jpg,2022-07-01
A832565,austin,oiseau,Canard,,*Moo,4 semaines,Unknown,Black/Yellow,,,Transfer,,0,Stray,"Louvain-la-Neuve, Belgique",https://live.staticflickr.com/4165/33694468644_198a9ab5a7_b.jpg,2021-04-15
A917336,austin,oiseau,Perruche,,*Rain,6 mois,Femelle,Bleu,,,Adoption,,1,Stray,"Gembloux, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJiaXJkX3BhcnJvdF96b29fODQ5OTA5LWltYWdlLWt5YmU3djJvLmpwZw.jpg,2024-11-10
A909674,austin,oiseau,Perruche,,Unknown,2 ans,Unknown,Vert,,,Euthanasia,,0,Wildlife,"Jodoigne, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJiaXJkX3BhcnJvdF96b29fODQ5OTA5LWltYWdlLWt5YmU3djJvLmpwZw.jpg,2024-07-19
A905113,austin,oiseau,Perruche,,*Henry Turner,3 mois,Unknown,Blue/White,,,Adoption,,1,Stray,"Perwez, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJiaXJkX3BhcnJvdF96b29fODQ5OTA5LWltYWdlLWt5YmU3djJvLmpwZw.jpg,2024-05-24
A886856,austin,oiseau,Perruche,,A886856,2 ans,Mâle,Vert et noir,,,Adoption,,1,Stray,"Eghezée, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJiaXJkX3BhcnJvdF96b29fODQ5OTA5LWltYWdlLWt5YmU3djJvLmpwZw.jpg,2023-08-19
A924361,austin,oiseau,Calopsitte,,River,2 ans,Unknown,Gris,,,Adoption,,1,Stray,"Hannut, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJiaXJkX3BhcnJvdF96b29fODQ5OTA5LWltYWdlLWt5YmU3djJvLmpwZw.jpg,2025-02-14
A870466,austin,oiseau,Calopsitte,,A870466,2 ans,Unknown,Jaune et gris,,,Adoption,,1,Stray,"Braives, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJiaXJkX3BhcnJvdF96b29fODQ5OTA5LWltYWdlLWt5YmU3djJvLmpwZw.jpg,2023-01-30
A847720,austin,oiseau,Calopsitte,,Screech,10 ans,Unknown,Tricolore,,,Transfer,,0,Owner Surrender,"Huy, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJiaXJkX3BhcnJvdF96b29fODQ5OTA5LWltYWdlLWt5YmU3djJvLmpwZw.jpg,2021-12-17
A817690,austin,autre,Cochon,,Piggy Smalls,4 ans,Mâle,Black/White,,,Adoption,,1,Stray,"Liège, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjY2LTEzNC14LmpwZw.jpg,2024-04-01
A837652,austin,autre,Cochon,,Peppa,2 ans,Mâle,Black/White,,,Return to Owner,,0,Stray,"Namur, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjY2LTEzNC14LmpwZw.jpg,2021-06-26
A795191,austin,autre,Cochon,,Loki,5 mois,Mâle,Blanc,,,Return to Owner,,0,Stray,"Bruxelles, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjY2LTEzNC14LmpwZw.jpg,2019-05-18
A788252,austin,autre,Cochon,,Bacon,4 mois,Unknown,Gris,,,Return to Owner,,0,Stray,"Charleroi, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjY2LTEzNC14LmpwZw.jpg,2019-01-29
A875558,austin,autre,Cochon nain,,Hazel,2 ans,Femelle,Blanc et noir,,,Return to Owner,,0,Abandoned,"Mons, Belgique",https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjY2LTEzNC14LmpwZw.jpg,2023-03-07
rl1211031,pet911,chien,,,Chien perdu,,Femelle,,Annonce signalée à Tournai : chien perdu — une femelle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Елизавета,,,"Tournai, Belgique",https://cdn.pet911.ru/17828493536a441f49b90089.56447922_img_9854.webp,2026-06-30
rl1211015,pet911,chien,,,Chien perdu,,Mâle,,Annonce signalée à Arlon : chien perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Анастасия,,,"Arlon, Belgique",https://cdn.pet911.ru/blur_17828474476a4417d7ad4714.13736997_img_3263.webp,2026-06-30
rl1211007,pet911,chien,,,Chien perdu,,Mâle,,Annonce signalée à Dinant : chien perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,илина,,,"Dinant, Belgique",https://cdn.pet911.ru/blur_17828467106a4414f658d279.18557297_c4709e897fa543b699768c74979a1e65.webp,2026-01-07
rl1211002,pet911,chien,,,Chien perdu,,Mâle,,Annonce signalée à Verviers : chien perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Olga,,,"Verviers, Belgique",https://cdn.pet911.ru/blur_17828461696a4412d972ebb2.32119971_661a4ddea31c47fbb67a6602719e8b651_all_17861.webp,2026-06-30
rl1210998,pet911,chien,,,Chien perdu,,Mâle,,Annonce signalée à Wavre : chien perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Марина,,,"Wavre, Belgique",https://cdn.pet911.ru/17828456456a4410cda1eb79.01277118_2871b393bbb14dfd8d20543e02c4b7e7.webp,2026-06-20
rl1210993,pet911,chien,,,Chien perdu,,Mâle,,Annonce signalée à Ottignies : chien perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Mikhaïl,,,"Ottignies, Belgique",https://cdn.pet911.ru/17828453796a440fc31274f3.30598812_img_5104.webp,2026-06-30
rl1210982,pet911,chien,,,Chien perdu,,Mâle,,Annonce signalée à Nivelles : chien perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Дарья,,,"Nivelles, Belgique",https://cdn.pet911.ru/blur_17828446106a440cc2ef6b34.99076107_img_0267.webp,2026-06-29
rl1210978,pet911,chien,,,Chien perdu,,Femelle,,Annonce signalée à Marche-en-Famenne : chien perdu — une femelle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Olga,,,"Marche-en-Famenne, Belgique",https://cdn.pet911.ru/17828442376a440b4df37066.93899324_1000237031.webp,2026-06-29
rl1210976,pet911,chien,,,Chien perdu,,Femelle,,Annonce signalée à Bastogne : chien perdu — une femelle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Екатерина,,,"Bastogne, Belgique",https://cdn.pet911.ru/17828440006a440a60dbc914.76834576_screenshot_20260630_190751_com.webp,2026-06-30
rl1210955,pet911,chien,,,Chien perdu,,Mâle,,Annonce signalée à Ciney : chien perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Юлия,,,"Ciney, Belgique",https://cdn.pet911.ru/blur_17828419366a440250125cf6.59598217_i.webp,2026-06-28
rl1210948,pet911,chien,,,Chien perdu,,Femelle,,Annonce signalée à Andenne : chien perdu — une femelle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Vladimir,,,"Andenne, Belgique",https://cdn.pet911.ru/blur_17828405376a43fcd9c09313.39779316_1000117336.webp,2026-06-27
rl1210944,pet911,chien,,,Chien perdu,,Femelle,,Annonce signalée à Waremme : chien perdu — une femelle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Гаянэ,,,"Waremme, Belgique",https://cdn.pet911.ru/blur_17828400776a43fb0d3d7879.17027471_img_1294.webp,2026-06-07
rl1211039,pet911,chat,,,Chat perdu,,Mâle,,Annonce signalée à Seraing : chat perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Екатерина,,,"Seraing, Belgique",https://cdn.pet911.ru/17828499836a4421bfea7bc5.17493536_1000045581.webp,2026-06-30
rl1211033,pet911,chat,,,Chat perdu,,Mâle,,Annonce signalée à Herstal : chat perdu — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Svetlana,,,"Herstal, Belgique",https://cdn.pet911.ru/17828495716a442023d6d5a6.59236307_img_2652.webp,2026-06-29
rl1211029,pet911,chat,,,Chat perdu,,,,Annonce signalée à Ans : chat perdu — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Perdu,Марина,,,"Ans, Belgique",https://cdn.pet911.ru/17828491426a441e76b45e41.64111271_aca7d8ffdc7047f0b062df778f1d0e85.webp,2026-06-01
rf1211032,pet911,chien,,,Chien trouvé,,Mâle,,Annonce signalée à Saint-Nicolas : chien trouvé — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Saint-Nicolas, Belgique",https://pet911.ru/img/no-photo/no-photo-1.svg,2026-06-30
rf1211023,pet911,chien,,,Chien trouvé,,Mâle,,Annonce signalée à Malines : chien trouvé — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Malines, Belgique",https://cdn.pet911.ru/blur_17828486536a441c8d9b7905.37297748_6f45c8bc6afa43039baef510d9044f1a.webp,2026-06-28
rf1211020,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Louvain-la-Neuve : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Louvain-la-Neuve, Belgique",https://cdn.pet911.ru/17828481396a441a8b0b4a41.41764633_img_20260630_223120_906.webp,2026-06-30
rf1210990,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Gembloux : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Gembloux, Belgique",https://cdn.pet911.ru/blur_thumb_17828449336a440e05f07a13.57681735_img_4193.webp,2026-06-29
rf1210981,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Jodoigne : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Jodoigne, Belgique",https://cdn.pet911.ru/blur_thumb_17828445646a440c94475e00.11163613_img_4652.webp,2026-06-30
rf1210980,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Perwez : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Perwez, Belgique",https://cdn.pet911.ru/thumb_17828445606a440c90543975.88786982_img_5376.webp,2026-06-27
rf1210975,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Eghezée : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Eghezée, Belgique",https://cdn.pet911.ru/thumb_17828439616a440a3966ca92.30145618_9772be23870540a882739fb4f2d4cd8f.webp,2026-06-30
rf1210966,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Hannut : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Hannut, Belgique",https://cdn.pet911.ru/thumb_17828435646a4408ac4c2041.64634192_img_2928.webp,2026-06-30
rf1210965,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Braives : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Braives, Belgique",https://cdn.pet911.ru/thumb_17828436626a44090ed2ea77.28917879_oqnbo2y78eae4ksxloizrszb6aoux2eu9iqlvbgdjkpg8n6xx8jdwkc2lsd9g2sfacoarfe4bzkgb4dzdbldgph.webp,2026-06-10
rf1210963,pet911,chien,,,Chien trouvé,,Mâle,,Annonce signalée à Huy : chien trouvé — un mâle. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Huy, Belgique",https://cdn.pet911.ru/17828435456a440899c4dba8.83741485_img_6219.webp,2026-06-30
rf1210961,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Liège : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Liège, Belgique",https://cdn.pet911.ru/blur_thumb_17828429726a44065c2bde60.94518069_img_3274.webp,2026-06-30
rf1210958,pet911,chien,,,Chien trouvé,,,,Annonce signalée à Namur : chien trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Namur, Belgique",https://cdn.pet911.ru/blur_thumb_17828427026a44054e579e33.57446903_img_3281.webp,2026-06-29
rf1211034,pet911,chat,,,Chat trouvé,,,,Annonce signalée à Bruxelles : chat trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Bruxelles, Belgique",https://cdn.pet911.ru/blur_thumb_17828496566a442078e85f04.09519520_0dffb554a0ca43c995edc168f87cc3af.webp,2026-06-30
rf1211030,pet911,chat,,,Chat trouvé,,,,Annonce signalée à Charleroi : chat trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Charleroi, Belgique",https://cdn.pet911.ru/blur_thumb_17828495476a44200b959fb4.52799926_img_3543.webp,2026-06-30
rf1211025,pet911,chat,,,Chat trouvé,,,,Annonce signalée à Mons : chat trouvé — un animal. Contactez le propriétaire via Pet's Book pour plus d'informations.,,Trouvé,,,,"Mons, Belgique",https://cdn.pet911.ru/blur_thumb_17828488186a441d32172055.34006518_img_5410.webp,2026-06-30
